scenario,tool,invocations,bytes,tokens,wall_ms,truth_found,signal_density,mole_est_tokens,mole_est_error_pct,max_rss_kb,api_requests,preflight_ms,sync_ms,watch_ms,diagnose_ms,emit_ms
sig-imagepullbackoff,mole,1,1544,497,30637,yes,0.558,515,3.6,37904,10,8,2,29997,12,0
sig-imagepullbackoff,kubectl-expert,2,3018,828,218,yes,0.536,,,47920,,,,,,
sig-imagepullbackoff,kubectl-naive,4,11586,3304,159,yes,0.357,,,47744,,,,,,
sig-imagepullbackoff,kubectl-status,1,1260,357,1590,no,0.539,,,56880,,,,,,
sig-crashloopbackoff,mole,1,955,343,40109,yes,0.372,319,-7.0,38176,11,68,2,39998,24,0
sig-crashloopbackoff,kubectl-expert,3,3472,1014,249,yes,0.215,,,48144,,,,,,
sig-crashloopbackoff,kubectl-naive,4,12537,3738,142,yes,0.214,,,48192,,,,,,
sig-crashloopbackoff,kubectl-status,1,1329,381,199,no,0.569,,,55792,,,,,,
sig-oomkilled,mole,1,979,350,45098,yes,0.414,327,-6.6,38000,10,47,1,44999,14,0
sig-oomkilled,kubectl-expert,2,3135,915,218,yes,0.232,,,49008,,,,,,
sig-oomkilled,kubectl-naive,4,12157,3569,154,yes,0.186,,,47632,,,,,,
sig-oomkilled,kubectl-status,1,1315,375,219,no,0.562,,,56336,,,,,,
sig-podunschedulable,mole,1,1341,437,20047,yes,0.494,447,2.3,37520,9,6,1,19998,7,0
sig-podunschedulable,kubectl-expert,2,1847,472,114,yes,0.317,,,47616,,,,,,
sig-podunschedulable,kubectl-naive,3,8290,2267,105,yes,0.181,,,48224,,,,,,
sig-podunschedulable,kubectl-status,1,1187,340,93,no,0.515,,,55440,,,,,,
sig-probefailing,mole,1,966,335,30100,yes,0.330,322,-3.9,37264,10,51,1,29999,11,0
sig-probefailing,kubectl-expert,2,2869,793,217,yes,0.174,,,48688,,,,,,
sig-probefailing,kubectl-naive,4,11860,3350,146,yes,0.155,,,48416,,,,,,
sig-probefailing,kubectl-status,1,1258,357,184,no,0.539,,,56720,,,,,,
sig-pvcpending,mole,1,988,341,25051,yes,0.357,330,-3.2,38272,10,7,1,24999,11,0
sig-pvcpending,kubectl-expert,4,2586,644,149,yes,0.423,,,48304,,,,,,
sig-pvcpending,kubectl-naive,3,8197,2225,115,yes,0.207,,,48480,,,,,,
sig-pvcpending,kubectl-status,1,1183,340,76,no,0.515,,,55968,,,,,,
sig-quotaexceeded,mole,1,1019,341,20028,yes,0.336,340,-0.3,37328,9,6,1,19999,7,0
sig-quotaexceeded,kubectl-expert,3,3324,942,252,yes,0.708,,,48112,,,,,,
sig-quotaexceeded,kubectl-naive,3,6159,1792,112,yes,0.439,,,48256,,,,,,
sig-quotaexceeded,kubectl-status,1,1571,437,168,yes,0.584,,,56032,,,,,,
sig-admissionrejected,mole,1,1123,370,20068,yes,0.375,375,1.4,37600,9,10,2,19998,9,0
sig-admissionrejected,kubectl-expert,3,3882,1107,124,yes,0.751,,,47584,,,,,,
sig-admissionrejected,kubectl-naive,3,6966,2031,111,yes,0.511,,,47712,,,,,,
sig-admissionrejected,kubectl-status,1,1322,378,71,yes,0.568,,,56304,,,,,,
sig-configmissing,mole,1,846,316,30029,yes,0.411,282,-10.8,38000,10,6,1,29999,6,0
sig-configmissing,kubectl-expert,2,2845,755,221,yes,0.250,,,47136,,,,,,
sig-configmissing,kubectl-naive,3,11250,3180,116,yes,0.201,,,48624,,,,,,
sig-configmissing,kubectl-status,1,1267,367,196,no,0.552,,,56192,,,,,,
sig-startfailed,mole,1,1412,431,40100,yes,0.536,471,9.3,38320,10,46,2,39998,14,0
sig-startfailed,kubectl-expert,2,3540,995,221,yes,0.405,,,47456,,,,,,
sig-startfailed,kubectl-naive,3,12601,3633,120,yes,0.268,,,48704,,,,,,
sig-startfailed,kubectl-status,1,1281,357,183,no,0.539,,,55840,,,,,,
sig-volumemountfailed,mole,1,863,302,45057,yes,0.340,288,-4.6,37792,10,7,1,44999,14,0
sig-volumemountfailed,kubectl-expert,2,2366,597,220,yes,0.257,,,47872,,,,,,
sig-volumemountfailed,kubectl-naive,3,10338,2864,113,yes,0.147,,,48240,,,,,,
sig-volumemountfailed,kubectl-status,1,1287,361,196,no,0.544,,,56912,,,,,,
collapse-nodenotready,mole,1,1635,555,45144,yes,0.306,545,-1.8,37968,16,27,4,44995,32,0
collapse-nodenotready,kubectl-expert,3,6376,1941,301,yes,0.381,,,49040,,,,,,
collapse-nodenotready,kubectl-naive,4,33521,10033,10161,yes,0.186,,,48096,,,,,,
collapse-nodenotready,kubectl-status,1,3166,924,235,no,0.646,,,56736,,,,,,
control-healthy,mole,1,440,181,8136,,,147,-18.8,37776,6,14,7,8000,0,0
control-healthy,kubectl-expert,2,253,96,110,,,,,47024,,,,,,
control-healthy,kubectl-naive,3,16195,4807,126,,,,,48144,,,,,,
control-healthy,kubectl-status,1,907,277,116,,,,,55600,,,,,,
fanout-50,mole,1,1867,608,45071,yes,0.236,623,2.5,42000,22,13,4,44996,46,0
fanout-50,kubectl-expert,4,8014,2700,283,yes,0.143,,,47728,,,,,,
fanout-50,kubectl-naive,3,290551,82293,170,yes,0.019,,,70800,,,,,,
fanout-50,kubectl-status,1,33470,9253,18163,yes,0.021,,,64480,,,,,,
fanout-500,mole,1,1856,603,90327,yes,0.240,619,2.7,55328,21,208,96,89904,41,0
